school,A_participation,Y_achievement,M_eduexpect,M_goodgrades,X_BYSES1,X_BYSEX,X_BYRACE..data_Hispanic,X_BYRACE..data_Other,X_BYRACE..data_White,X_BYSTLNG2,X_BYGNSTAT,X_BYP49,X_BYFCOMP,X_BYP08,X_BYPARED,X_BYINCOME,X_BYP44C,X_BYHOMLIT,W_nj
207,1,59.51,0,1,0.25,0,0,0,1,1,1,0,1,0,1,1,0,1,0.5333333333333333
207,1,74.97,1,1,1.48,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5333333333333333
207,1,56.26,0,0,0.89,0,0,0,1,1,1,1,1,1,1,1,0,0,0.5333333333333333
207,0,50.81,1,0,0.85,0,0,0,1,1,1,0,1,1,1,1,0,1,0.5333333333333333
207,0,58.43,0,0,0.48,1,0,0,1,1,1,0,1,1,1,1,0,0,0.5333333333333333
207,1,65.54,0,1,0.61,0,0,0,1,1,1,0,0,0,0,1,0,1,0.5333333333333333
207,1,41.96,0,0,0.43,1,0,1,0,0,0,0,0,0,0,1,0,0,0.5333333333333333
207,1,63.93,1,1,0.88,0,0,0,1,1,1,0,1,1,1,1,0,0,0.5333333333333333
207,0,61.33,0,1,1.16,0,0,0,0,1,0,0,0,1,1,0,0,0,0.5333333333333333
207,1,54.14,1,1,-1.41,0,0,0,1,1,1,0,1,1,0,0,0,0,0.5333333333333333
207,0,44.41,0,0,-0.4,0,0,0,0,1,1,0,0,1,0,0,0,0,0.5333333333333333
207,0,42.24,1,1,0.35,0,0,0,0,1,1,1,0,0,1,0,0,0,0.5333333333333333
207,0,54.28,0,1,-0.31,0,0,0,1,1,1,0,0,1,0,0,0,0,0.5333333333333333
207,1,61.13,1,1,0.44,1,0,0,0,1,0,0,0,1,0,1,0,0,0.5333333333333333
207,0,58.58,0,1,-0.51,1,0,1,0,0,0,0,1,1,0,0,0,1,0.5333333333333333
207,0,34.11,0,0,0.65,0,1,0,0,0,0,0,1,1,1,1,0,1,0.5333333333333333
207,1,61.35,1,1,0.82,1,1,0,0,1,1,0,1,1,1,1,0,0,0.5333333333333333
207,1,41.57,0,1,0.55,1,0,0,1,1,1,0,1,1,0,1,1,1,0.5333333333333333
208,0,40.85,1,0,-0.05,1,0,0,1,1,1,0,0,0,0,1,0,0,0.4666666666666667
208,0,54.46,0,1,-0.34,0,0,0,0,1,1,0,1,0,0,0,0,0,0.4666666666666667
208,0,42.38,1,0,0.54,1,0,0,0,1,1,0,0,1,1,1,0,0,0.4666666666666667
208,0,50.75,0,1,-0.24,1,0,0,1,1,0,0,1,1,0,1,0,1,0.4666666666666667
208,1,40.33,1,1,0.8,1,0,0,0,1,1,0,1,1,1,1,0,0,0.4666666666666667
208,0,51.82,0,0,0.82,0,0,1,0,1,1,0,1,1,1,1,0,1,0.4666666666666667
208,1,27.04,0,1,-0.79,1,0,0,0,1,1,1,0,0,0,0,1,0,0.4666666666666667
208,1,60.11,1,1,0.47,0,0,0,1,1,1,0,1,1,0,1,1,0,0.4666666666666667
208,0,42.09,0,0,0.67,0,0,0,0,1,1,0,1,1,1,0,0,1,0.4666666666666667
208,0,60.85,1,1,0.96,1,0,1,0,1,1,0,1,1,1,1,0,1,0.4666666666666667
208,1,67.85,0,0,0.83,0,0,0,1,1,1,0,1,1,1,1,0,1,0.4666666666666667
208,0,43.67,0,1,0.37,0,0,0,0,1,1,0,1,1,0,1,0,1,0.4666666666666667
208,0,66.62,1,1,1.33,1,0,0,0,1,1,0,0,0,1,1,0,0,0.4666666666666667
208,0,44,0,0,-0.09,1,0,0,1,1,1,1,0,0,0,1,0,0,0.4666666666666667
208,1,69.21,1,1,0.98,0,0,0,1,1,1,0,1,0,1,1,0,0,0.4666666666666667
208,1,51.81,1,1,-0.1,1,0,0,0,1,1,0,0,0,1,0,1,0,0.4666666666666667
208,1,58.8,0,1,0.46,1,0,0,0,1,1,0,1,1,1,1,0,1,0.4666666666666667
236,0,66.13,1,1,-0.06,0,0,0,1,1,0,0,0,0,0,0,0,0,0.5333333333333333
236,0,48.54,1,0,-0.38,1,0,0,1,1,1,0,1,1,0,1,0,0,0.5333333333333333
236,0,64.97,0,0,-0.01,0,0,0,1,1,1,0,1,0,0,1,0,0,0.5333333333333333
236,1,45.54,0,1,0.45,1,0,0,1,1,0,0,1,0,1,1,0,0,0.5333333333333333
236,1,38.86,1,1,0.19,1,1,0,0,1,1,0,1,1,0,1,0,0,0.5333333333333333
236,1,55.22,0,0,0.74,1,0,0,1,1,1,0,1,1,0,1,0,0,0.5333333333333333
236,0,34.74,0,1,-0.79,1,1,0,0,1,1,0,1,0,0,0,0,1,0.5333333333333333
236,0,45.4,0,0,-1.03,0,0,0,1,1,1,0,1,1,0,0,0,1,0.5333333333333333
236,1,38.19,0,1,-0.69,1,0,1,0,1,1,0,1,1,0,0,0,0,0.5333333333333333
236,1,60.64,1,1,-0.24,1,0,0,1,1,1,0,0,0,0,0,0,1,0.5333333333333333
236,1,47.44,0,0,-1.63,0,0,0,1,1,1,0,0,1,0,0,1,0,0.5333333333333333
236,1,63.31,1,1,1.15,1,0,0,1,1,1,0,1,1,1,1,0,1,0.5333333333333333
236,0,45.31,0,0,-0.15,1,0,0,1,1,1,0,1,1,0,1,0,0,0.5333333333333333
236,0,51.97,0,1,0.41,0,0,0,1,1,1,0,1,1,0,1,0,0,0.5333333333333333
236,1,56.95,1,1,-0.37,1,0,0,1,1,1,0,1,1,0,0,1,0,0.5333333333333333
236,1,45.92,0,0,0.04,1,0,0,1,1,1,0,1,0,0,0,0,1,0.5333333333333333
236,0,50.79,0,0,0.48,0,0,0,1,1,1,0,0,0,0,1,0,1,0.5333333333333333
236,1,61.68,1,1,-0.08,0,0,0,1,1,1,0,0,0,0,0,0,1,0.5333333333333333
237,1,45.64,0,0,0.17,1,0,0,0,1,1,0,0,0,1,1,1,0,0.4
237,1,46.57,1,0,-0.31,1,0,0,1,1,1,0,0,0,0,0,1,0,0.4
237,1,55.47,1,1,-1.46,1,0,0,1,1,1,0,0,1,0,0,0,0,0.4
237,0,41.57,0,0,-1.3,0,0,0,1,1,1,0,1,0,0,0,0,0,0.4
237,0,39.59,0,1,-0.05,1,0,0,1,1,1,0,1,1,0,1,1,1,0.4
237,1,48,1,1,0.21,1,0,0,1,1,1,0,1,1,0,0,0,0,0.4
237,0,50.43,1,1,-1.54,0,0,0,1,1,1,0,0,0,0,0,0,0,0.4
237,0,40.34,0,1,-0.16,0,0,0,1,1,1,0,1,1,0,1,0,1,0.4
237,1,47.52,1,1,0.59,1,0,0,1,1,1,0,1,1,1,1,0,0,0.4
237,0,45.7,1,1,0.56,0,0,1,0,1,1,0,0,1,0,1,0,1,0.4
237,1,32.75,1,0,-0.51,1,0,0,1,1,1,1,1,0,0,1,0,0,0.4
237,1,44.93,0,0,-1.03,0,0,0,1,1,1,0,1,1,0,0,0,1,0.4
237,0,62.74,1,1,-0.84,1,0,0,1,1,1,0,1,0,0,0,0,0,0.4
237,0,52.56,1,1,0.46,1,0,0,1,1,1,0,1,1,1,1,0,1,0.4
237,1,33.23,0,1,-0.59,1,0,0,1,1,1,0,1,0,0,0,0,0,0.4
237,1,53.48,1,1,-0.94,1,1,0,0,1,1,0,1,0,0,0,0,0,0.4
238,1,49.98,1,1,-0.06,1,0,0,0,1,1,0,0,1,0,1,0,0,0.26666666666666666
238,0,39.67,1,1,-0.32,1,0,0,0,1,1,0,0,1,1,0,1,0,0.26666666666666666
238,1,34.71,1,1,-1.4,1,0,0,0,1,1,0,0,1,0,0,1,1,0.26666666666666666
238,0,37.42,0,1,-1.35,1,0,0,0,1,1,0,0,0,0,0,0,0,0.26666666666666666
238,1,37.63,1,1,-0.67,0,0,0,0,1,1,1,0,0,0,0,1,0,0.26666666666666666
238,1,40.19,1,1,-0.57,0,0,0,0,1,1,0,0,1,0,0,0,1,0.26666666666666666
238,1,35.21,0,0,-0.35,0,0,0,0,1,1,0,0,1,0,0,1,0,0.26666666666666666
238,0,32.15,0,1,0.44,0,0,0,0,1,1,0,1,1,1,1,1,0,0.26666666666666666
238,0,34.56,0,0,-0.37,0,0,0,0,1,1,0,0,1,0,0,1,0,0.26666666666666666
238,1,39.22,0,0,-0.6,0,0,0,0,1,1,0,0,0,1,0,0,0,0.26666666666666666
238,1,39.53,1,1,-0.39,1,0,0,0,1,1,0,1,1,0,0,1,0,0.26666666666666666
238,1,31.27,1,1,-1.34,0,0,0,0,1,1,1,1,1,0,0,1,0,0.26666666666666666
238,0,37.81,0,1,-0.9,1,0,0,0,1,1,0,0,0,0,0,0,1,0.26666666666666666
238,1,39.34,0,1,-0.29,1,0,0,0,1,1,0,0,0,0,0,1,1,0.26666666666666666
239,0,36.73,1,1,-1.04,1,0,0,0,1,1,0,1,0,0,0,1,0,0.26666666666666666
239,1,51.11,1,0,-0.03,1,0,0,1,1,1,0,0,1,0,0,0,0,0.26666666666666666
239,1,43.12,0,0,-0.42,0,0,0,1,1,1,0,1,1,0,0,0,0,0.26666666666666666
239,0,35.55,0,1,-0.87,0,1,0,0,0,0,0,1,0,0,1,0,1,0.26666666666666666
239,1,57.93,1,0,-0.42,0,0,0,1,1,1,0,1,1,0,0,1,0,0.26666666666666666
239,1,40.24,1,1,-1.19,1,0,0,0,1,1,0,0,0,0,0,1,0,0.26666666666666666
239,1,38.74,0,0,-1.23,1,0,0,1,1,1,1,1,0,0,0,0,0,0.26666666666666666
239,0,41.91,1,1,-0.5,1,0,0,0,1,1,0,1,1,0,0,0,1,0.26666666666666666
239,1,47.02,1,1,-0.9,1,0,0,1,1,1,0,1,1,0,0,1,0,0.26666666666666666
239,1,49.37,1,1,0.03,1,0,0,1,1,1,0,0,0,0,0,0,0,0.26666666666666666
239,1,47.9,0,1,-0.21,1,0,0,0,1,1,1,0,1,0,0,0,1,0.26666666666666666
239,1,33.28,0,1,-0.02,0,0,0,0,1,1,1,0,0,0,1,1,1,0.26666666666666666
239,0,33.39,0,1,0.48,1,0,0,1,1,1,1,0,1,0,0,0,0,0.26666666666666666
239,0,46.17,1,1,-0.51,1,0,0,1,1,1,0,1,1,0,0,0,0,0.26666666666666666
242,0,41.76,1,1,0.23,1,0,0,1,1,1,0,0,0,0,0,0,0,0.13333333333333333
242,1,56.76,0,1,1.06,0,0,0,1,1,1,0,1,1,1,1,0,1,0.13333333333333333
242,1,72.36,0,0,0.51,0,0,0,1,1,1,0,0,0,1,1,0,1,0.13333333333333333
242,0,42.2,0,0,-0.15,0,0,0,1,1,1,0,0,0,0,0,1,1,0.13333333333333333
242,1,46.6,0,1,0.01,1,0,0,1,1,1,0,0,1,0,1,0,1,0.13333333333333333
242,1,50.21,0,0,0.2,1,0,0,1,1,1,1,1,1,0,1,0,0,0.13333333333333333
242,0,63.41,0,0,0.45,0,0,0,1,1,1,0,1,1,1,1,0,0,0.13333333333333333
242,1,60.74,1,1,0.7,1,0,0,1,1,1,0,1,1,1,0,0,0,0.13333333333333333
242,1,51.99,1,1,-0.77,1,0,0,1,1,1,0,0,0,0,1,0,0,0.13333333333333333
242,1,61,0,0,0.36,0,0,1,0,1,1,0,0,0,1,0,0,0,0.13333333333333333
242,0,45.32,1,0,-0.17,1,0,1,0,1,1,0,1,1,0,1,0,0,0.13333333333333333
242,1,47.2,0,1,0.04,1,0,0,1,1,0,0,0,1,0,0,0,0,0.13333333333333333
244,0,30.38,0,1,0.34,0,0,1,0,1,1,0,0,1,1,1,0,0,0
244,1,43.7,0,1,-1.26,0,0,0,0,1,1,0,0,0,0,0,1,0,0
244,1,54.17,1,1,-0.63,0,0,0,1,1,1,0,1,1,0,0,0,0,0
244,1,38.03,0,0,-0.77,1,0,0,1,1,1,0,0,1,0,0,0,0,0
244,0,40.84,0,0,-1.41,1,0,0,1,1,1,0,0,1,0,0,0,0,0
244,1,46.31,0,0,-0.32,0,0,0,1,1,0,0,0,1,0,0,0,0,0
244,1,46.45,1,0,-0.56,1,0,0,1,1,1,0,1,1,0,0,0,0,0
244,0,43.07,0,1,-0.12,0,0,0,0,1,1,0,0,0,0,0,1,0,0
244,1,40.41,0,1,0.05,1,0,0,0,1,1,0,1,1,1,0,0,1,0
244,1,37.67,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0
262,1,46.76,0,0,0.23,0,0,0,1,1,1,0,0,1,0,0,0,0,0.13333333333333333
262,1,42.29,1,1,0.01,1,0,0,0,1,1,0,1,1,0,1,0,0,0.13333333333333333
262,1,38.94,1,1,-0.9,1,0,0,0,1,1,0,1,1,0,0,1,0,0.13333333333333333
262,1,61.15,1,0,0.25,1,1,0,0,1,1,0,1,0,1,1,0,1,0.13333333333333333
262,0,52.76,0,0,-0.4,0,0,0,1,1,1,0,1,1,0,1,0,0,0.13333333333333333
262,0,51.67,1,0,-0.15,1,0,0,1,1,1,0,1,1,0,1,0,1,0.13333333333333333
262,0,56.04,0,0,-0.93,0,0,0,1,1,1,0,0,1,0,0,0,0,0.13333333333333333
262,0,44.38,1,1,0.23,1,0,0,1,1,1,0,1,1,0,0,0,1,0.13333333333333333
262,1,45.16,0,0,-0.84,1,0,0,1,1,1,0,1,1,0,0,1,1,0.13333333333333333
262,1,48.05,0,0,1.31,1,0,0,1,1,1,0,1,1,1,1,0,1,0.13333333333333333
262,0,50.28,0,0,0.4,0,0,0,1,1,1,0,0,0,0,1,0,0,0.13333333333333333
262,1,40.5,0,1,-0.21,0,0,0,0,1,1,0,1,0,0,0,1,1,0.13333333333333333
263,0,63.44,0,1,-0.51,1,0,0,1,1,1,0,1,1,0,0,1,0,0.26666666666666666
263,1,47.6,1,1,0.96,1,0,0,1,1,1,0,1,1,1,1,0,0,0.26666666666666666
263,1,24.31,1,0,-0.82,1,1,0,0,0,1,1,0,0,0,1,1,0,0.26666666666666666
263,1,48.48,1,0,-0.07,1,0,0,1,1,1,0,0,1,0,1,0,0,0.26666666666666666
263,0,46,0,0,-0.43,1,0,0,1,1,1,0,1,0,0,0,0,0,0.26666666666666666
263,1,50.05,1,1,0.09,0,0,0,1,1,1,0,1,1,0,0,0,0,0.26666666666666666
263,1,40.97,0,0,-0.16,1,0,0,1,1,1,0,1,1,0,1,0,0,0.26666666666666666
263,0,56.45,1,0,0.74,0,0,0,1,1,1,0,0,0,1,1,0,0,0.26666666666666666
263,0,49.08,0,0,-0.33,0,0,0,1,1,1,0,0,0,0,0,0,0,0.26666666666666666
263,0,45.6,0,0,-0.39,1,0,0,1,1,1,0,1,1,0,0,0,1,0.26666666666666666
263,1,55.75,1,0,0.25,1,0,0,1,1,1,0,0,1,0,1,0,1,0.26666666666666666
263,1,43.03,1,0,-0.18,1,0,0,1,1,0,0,0,0,0,0,1,0,0.26666666666666666
263,1,48.51,0,0,0.09,0,0,0,1,1,1,0,1,1,0,1,0,0,0.26666666666666666
263,1,56.33,0,1,0.57,1,0,0,1,1,1,0,1,1,0,1,0,0,0.26666666666666666
264,0,56.33,1,0,-1.23,0,0,1,0,1,1,0,1,0,0,0,0,0,0.26666666666666666
264,0,45.61,0,0,-0.25,0,0,0,1,1,1,0,1,1,0,1,0,0,0.26666666666666666
264,0,52.07,0,0,-0.84,1,0,0,1,1,1,0,1,1,0,0,0,1,0.26666666666666666
264,0,44.51,0,1,-0.79,1,0,0,1,1,1,0,0,1,0,1,0,0,0.26666666666666666
264,0,43,0,0,-0.31,1,0,0,1,1,1,0,1,1,0,1,0,0,0.26666666666666666
264,1,59.29,0,1,0.17,1,0,0,1,1,1,0,1,1,0,0,0,1,0.26666666666666666
264,1,53.48,0,0,-1.01,0,0,0,1,1,1,0,1,0,0,0,0,0,0.26666666666666666
264,0,48.56,1,0,-0.73,0,0,0,1,1,1,0,1,1,0,0,0,1,0.26666666666666666
264,1,44.23,1,1,-1.53,0,0,0,0,1,1,0,0,0,0,0,0,1,0.26666666666666666
264,1,54.04,0,1,0.3,1,0,0,1,1,1,0,1,1,1,1,0,1,0.26666666666666666
264,0,56.46,0,0,0.7,0,0,0,1,1,1,0,1,1,1,1,0,0,0.26666666666666666
264,0,51.55,0,1,-0.03,0,1,0,0,1,1,0,1,0,0,0,0,1,0.26666666666666666
264,1,44.74,0,1,-0.56,1,0,0,1,1,1,0,0,1,0,0,0,0,0.26666666666666666
264,1,62.84,1,1,0.29,1,0,0,1,1,1,0,0,0,0,0,0,1,0.26666666666666666
265,0,46.85,0,1,-0.68,1,0,0,1,1,1,0,1,1,0,1,0,1,0.06666666666666667
265,1,46.77,0,0,0.66,1,0,0,1,1,1,0,1,1,1,1,1,1,0.06666666666666667
265,0,42.01,0,0,-0.72,0,0,0,1,1,1,1,1,1,0,1,0,0,0.06666666666666667
265,1,46.79,0,0,-0.35,0,0,0,1,1,1,0,1,1,0,1,0,0,0.06666666666666667
265,0,54.03,0,0,0.56,0,0,0,1,1,1,0,0,0,0,1,0,1,0.06666666666666667
265,0,48.41,0,1,-0.78,0,0,0,1,1,1,0,0,1,0,1,0,0,0.06666666666666667
265,1,73.14,0,1,0.18,0,0,0,1,1,1,0,0,0,0,1,0,0,0.06666666666666667
265,0,48.34,1,1,0.14,1,0,0,1,1,1,0,0,1,1,0,0,0,0.06666666666666667
265,0,58.1,0,1,-0.49,0,0,0,1,1,1,0,0,0,0,1,0,0,0.06666666666666667
265,0,48.82,1,1,0.36,0,0,0,1,1,1,0,1,1,0,1,0,1,0.06666666666666667
265,0,48.4,0,0,0.52,1,0,0,1,1,1,0,1,0,0,0,0,0,0.06666666666666667
266,1,42.56,0,0,-0.59,1,0,0,1,1,1,0,1,1,0,1,0,0,0.13333333333333333
266,1,52.21,1,1,-0.7,0,0,0,1,1,1,0,1,1,0,1,0,0,0.13333333333333333
266,0,31.33,0,0,-0.2,0,0,0,1,1,1,0,1,1,0,1,0,0,0.13333333333333333
266,1,50.26,0,1,-0.99,1,0,0,1,1,1,0,0,1,0,0,1,1,0.13333333333333333
266,1,31.62,0,0,-0.09,0,0,0,1,1,1,1,0,0,0,1,1,1,0.13333333333333333
266,1,39.12,1,1,-0.49,1,0,0,1,1,1,0,1,1,0,0,0,0,0.13333333333333333
266,0,44.08,0,1,-0.73,0,0,0,1,1,1,0,1,1,0,0,0,0,0.13333333333333333
266,0,52.78,1,1,-0.93,1,0,0,1,1,1,0,1,0,0,0,1,0,0.13333333333333333
266,1,37.64,0,1,-0.43,0,0,1,0,1,1,0,0,0,0,0,1,0,0.13333333333333333
266,1,32.87,0,0,-0.76,1,0,0,1,1,1,0,1,1,0,0,1,1,0.13333333333333333
266,1,36.74,0,0,-0.58,0,0,0,0,1,1,0,0,1,0,0,0,0,0.13333333333333333
266,1,48.56,0,1,0.41,0,0,0,1,1,1,0,1,1,1,1,0,1,0.13333333333333333
268,1,62.76,1,1,0.21,0,0,1,0,1,1,0,0,1,0,1,0,0,0.6
268,1,48.6,0,0,-0.07,0,0,0,1,1,1,1,0,1,0,1,0,1,0.6
268,0,50,1,0,0.92,0,0,0,1,1,1,0,1,1,1,1,0,1,0.6
268,0,60.49,0,1,0.56,0,0,0,1,1,1,0,0,0,0,1,0,0,0.6
268,1,53.96,1,1,-0.85,1,0,0,1,1,1,0,1,0,0,1,1,0,0.6
268,1,50.5,1,0,-0.33,1,0,0,1,1,1,0,0,1,0,0,0,0,0.6
268,0,39.56,0,0,0.3,0,0,0,1,1,1,0,1,0,1,1,0,0,0.6
268,1,55.19,1,1,-0.3,1,0,0,1,1,1,0,0,0,0,1,0,1,0.6
268,1,63.11,0,1,-0.47,1,0,0,1,1,1,0,1,1,0,0,0,0,0.6
268,0,48.06,0,0,-0.04,0,0,0,1,1,1,0,0,1,1,0,1,0,0.6
268,1,55.38,0,0,0.01,0,0,0,1,1,1,0,0,0,0,1,0,0,0.6
268,1,38.63,1,0,-0.13,1,0,0,1,1,1,0,1,1,0,0,1,0,0.6
268,1,52.65,1,1,-0.61,1,0,0,1,1,1,0,1,0,0,1,0,0,0.6
268,1,54.99,1,1,-0.68,1,0,0,1,1,1,0,0,1,0,0,0,0,0.6
268,1,60.32,1,1,0.11,0,0,0,1,1,1,1,0,1,0,1,0,0,0.6
268,1,63.73,1,1,0.27,0,0,0,1,1,1,0,1,0,0,0,0,0,0.6
268,1,34.4,0,0,-0.4,1,0,0,1,1,1,0,1,0,0,1,1,0,0.6
268,1,42.1,0,0,0.01,1,0,1,0,1,1,0,1,1,0,0,0,1,0.6
268,1,56.1,0,1,0.24,1,0,0,1,1,0,0,0,1,1,0,0,0,0.6
295,1,57.48,1,0,-0.17,1,0,0,1,1,1,0,1,0,0,0,0,0,0.6666666666666666
295,0,52.18,0,0,-0.69,0,0,0,1,1,1,0,1,1,0,0,0,1,0.6666666666666666
295,0,64.36,1,1,-0.47,0,0,0,1,1,1,0,1,1,0,0,0,0,0.6666666666666666
295,1,49.49,0,0,0.16,1,0,0,1,1,1,0,1,1,1,0,0,1,0.6666666666666666
295,1,50.37,1,0,0.13,1,0,0,1,1,1,0,1,1,0,1,0,1,0.6666666666666666
295,1,53.99,0,1,-0.52,1,0,0,1,1,1,1,1,1,0,0,0,1,0.6666666666666666
295,1,56.35,1,1,-0.11,0,0,0,1,1,1,0,1,1,1,0,0,0,0.6666666666666666
295,1,65.06,0,0,-0.08,1,0,0,1,1,1,0,0,1,0,0,0,0,0.6666666666666666
295,1,60.84,0,0,-0.18,1,0,1,0,1,1,0,1,1,0,0,0,0,0.6666666666666666
295,1,54.1,1,1,0.76,1,0,0,1,1,1,0,1,1,1,1,0,1,0.6666666666666666
295,1,55.49,1,0,-0.27,0,0,0,1,1,1,0,1,1,0,1,0,0,0.6666666666666666
295,1,59.9,1,1,-0.33,1,0,0,1,1,1,0,1,1,0,0,0,1,0.6666666666666666
295,0,55.88,0,0,-0.46,0,0,0,1,1,1,0,1,1,0,0,0,1,0.6666666666666666
295,1,64.23,1,1,-0.41,1,0,0,1,1,1,0,1,1,0,0,0,1,0.6666666666666666
295,1,62.15,1,1,0.66,1,0,0,1,1,1,0,1,1,1,0,0,1,0.6666666666666666
295,1,47.85,1,1,-0.3,1,0,0,1,1,1,0,1,1,0,0,0,0,0.6666666666666666
295,1,50.64,0,0,0.29,1,0,0,1,1,1,0,1,1,0,0,0,0,0.6666666666666666
295,1,57.56,0,1,-0.49,1,0,0,1,1,1,0,1,0,0,0,0,1,0.6666666666666666
295,0,43.24,1,0,-0.2,1,0,0,1,1,1,0,1,0,0,0,0,0,0.6666666666666666
295,1,54.21,0,0,-0.12,1,0,0,1,1,1,0,1,1,0,0,0,1,0.6666666666666666
296,1,56.73,1,0,-0.18,0,0,0,1,1,1,0,1,0,0,0,0,0,0.13333333333333333
296,0,30.37,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0.13333333333333333
296,1,60.94,1,1,-0.52,1,0,0,1,1,1,0,0,1,0,0,0,0,0.13333333333333333
296,0,65.26,1,1,0.49,1,0,0,1,1,1,0,0,1,0,1,0,1,0.13333333333333333
296,1,62.84,1,1,0.86,0,0,0,1,1,1,0,0,1,1,1,0,1,0.13333333333333333
296,0,51.12,0,0,-0.61,0,1,0,0,1,1,0,1,0,0,0,0,0,0.13333333333333333
296,1,50.31,1,1,0.4,1,0,0,1,1,1,0,1,1,1,1,0,0,0.13333333333333333
296,1,48.54,0,1,-0.32,1,1,0,0,1,1,0,1,1,0,1,0,1,0.13333333333333333
296,1,41.49,0,0,0.62,0,0,0,1,1,1,0,0,0,1,1,0,1,0.13333333333333333
296,0,52.95,1,0,-0.26,1,0,0,1,1,1,0,0,1,0,0,0,1,0.13333333333333333
296,0,28.51,0,1,0.55,0,0,0,1,0,1,1,1,1,1,1,0,0,0.13333333333333333
296,0,41.86,1,0,0.54,1,0,0,1,1,1,0,0,1,1,1,0,1,0.13333333333333333
297,0,57.89,0,0,0.38,0,0,0,1,1,1,0,1,1,1,1,0,1,0.4
297,1,43.42,0,1,-0.88,1,0,0,1,1,1,0,1,1,0,0,0,0,0.4
297,1,51,0,1,-0.49,1,0,0,1,1,1,0,0,0,0,0,0,0,0.4
297,0,63.85,0,1,-0.12,1,0,0,1,1,1,0,1,0,1,0,0,1,0.4
297,1,55.82,0,0,-0.11,1,0,0,1,1,1,0,1,0,1,1,0,0,0.4
297,0,59.35,0,1,0.04,1,0,0,1,1,1,0,1,0,0,1,0,1,0.4
297,1,42.71,1,0,-0.66,1,0,0,1,1,1,0,1,1,0,0,0,0,0.4
297,1,49.85,0,1,-0.49,1,0,0,1,1,1,0,1,0,0,0,0,0,0.4
297,0,32.91,0,0,-0.23,1,0,0,1,1,1,1,1,1,0,0,0,1,0.4
297,0,53.07,0,0,0.37,0,0,0,1,1,1,0,1,1,1,0,0,0,0.4
297,0,59.03,0,1,-0.69,1,0,0,1,1,1,0,1,1,0,0,0,1,0.4
297,1,64.91,0,0,1.04,0,0,0,1,1,1,0,1,0,1,1,0,0,0.4
297,1,53.76,1,1,1.04,0,0,0,1,1,1,0,1,0,1,1,0,0,0.4
297,1,50.91,0,0,0.17,0,0,0,1,1,1,0,1,0,1,0,0,0,0.4
297,1,39.1,0,0,-0.01,1,0,0,1,1,1,0,1,1,1,1,0,0,0.4
297,0,48.95,0,1,0.29,0,0,0,1,1,1,0,1,0,0,1,0,0,0.4
313,0,51.97,0,1,0.25,0,0,0,1,1,1,0,0,1,1,1,0,1,0.4
313,0,33.71,1,1,1.03,0,1,0,0,1,1,0,1,1,1,1,0,0,0.4
313,1,56.78,1,1,0.79,1,0,0,1,1,1,0,1,0,1,0,0,0,0.4
313,1,67.45,1,1,0.31,1,0,0,1,1,1,0,1,1,0,1,0,1,0.4
313,1,62.38,1,1,0.02,0,0,1,0,0,0,0,1,0,0,0,0,0,0.4
313,1,50.21,0,1,0.89,1,0,1,0,1,0,0,1,0,1,1,0,1,0.4
313,0,51.87,0,0,0.12,0,0,0,1,1,1,0,0,0,0,1,0,0,0.4
313,0,35.69,0,0,0.25,1,0,1,0,1,1,0,0,1,0,1,1,0,0.4
313,0,61.49,0,1,0.27,0,0,0,1,1,1,0,1,0,0,0,0,1,0.4
313,1,57.51,1,1,1.05,1,0,0,1,1,1,0,1,0,1,1,0,0,0.4
313,0,56.43,0,1,0.99,0,0,0,1,1,1,0,0,1,1,1,0,1,0.4
313,1,65.07,1,1,0.29,0,0,0,1,1,1,0,1,1,0,1,0,1,0.4
313,0,52.46,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0.4
313,0,44.21,0,1,0.16,0,0,0,0,1,0,0,0,0,1,0,0,0,0.4
313,0,66.9,0,1,-0.18,0,0,0,1,1,0,0,1,0,0,0,0,1,0.4
313,0,47.27,0,1,-0.18,0,0,0,1,1,1,0,1,0,1,0,0,1,0.4
314,1,62.56,0,1,0.63,0,0,1,0,1,1,0,1,1,1,1,0,0,0.26666666666666666
314,0,53.62,1,0,-0.07,0,0,1,0,1,1,0,0,1,1,0,1,1,0.26666666666666666
314,1,63.49,1,1,0.74,1,0,1,0,1,1,0,1,1,1,1,0,0,0.26666666666666666
314,1,35.67,0,0,0.37,0,0,1,0,1,1,0,1,1,0,1,0,1,0.26666666666666666
314,0,55.62,0,0,0.1,0,0,1,0,1,1,0,0,1,0,1,0,0,0.26666666666666666
314,1,42.53,0,0,0.64,1,0,1,0,1,1,0,0,1,1,1,1,0,0.26666666666666666
314,0,61.37,1,1,0.29,0,0,1,0,1,1,1,1,1,0,1,0,1,0.26666666666666666
314,1,50.18,0,1,-0.21,1,0,0,1,1,1,0,0,1,0,1,0,1,0.26666666666666666
314,0,51.91,0,0,-0.59,0,0,1,0,1,0,1,0,0,0,0,0,1,0.26666666666666666
314,0,63.39,1,1,0.38,0,0,1,0,1,1,0,1,1,0,1,0,1,0.26666666666666666
314,1,61.71,1,0,0.03,0,0,1,0,1,1,0,1,0,0,0,0,1,0.26666666666666666
